# Region type : cellZone waterZone
#   Cells  : 318566
#   Volume : 1.912265e-03
#        Time	volAverage(W1)	volAverage(W2)	volAverage(L1)	volAverage(L2)	volAverage(sigma)
55.6999923793031755	1.308559e-01	1.163560e-01	1.450475e+00	2.287740e+00	1.333604e-01
55.7000416400029579	1.308545e-01	1.163562e-01	1.450769e+00	2.287401e+00	1.333896e-01
55.70009097369757	1.308538e-01	1.163556e-01	1.451046e+00	2.287241e+00	1.334114e-01
55.7001403689424492	1.308535e-01	1.163547e-01	1.451313e+00	2.287481e+00	1.334280e-01
55.7001898212932574	1.308532e-01	1.163537e-01	1.451523e+00	2.288258e+00	1.334414e-01
55.7002393268518858	1.308496e-01	1.163559e-01	1.451695e+00	2.287141e+00	1.334523e-01
55.7002888797908682	1.308496e-01	1.163547e-01	1.451890e+00	2.287164e+00	1.334603e-01
55.700338473906001	1.308490e-01	1.163540e-01	1.452068e+00	2.287187e+00	1.334681e-01
55.7003881040932285	1.308472e-01	1.163545e-01	1.452196e+00	2.286911e+00	1.334727e-01
55.7004377638703829	1.308467e-01	1.163537e-01	1.452363e+00	2.287052e+00	1.334829e-01
55.7004874487380519	1.308464e-01	1.163527e-01	1.452489e+00	2.286858e+00	1.334886e-01
55.7005371560093892	1.308459e-01	1.163519e-01	1.452613e+00	2.287025e+00	1.334936e-01
55.7005868846618952	1.308460e-01	1.163506e-01	1.452729e+00	2.287235e+00	1.334975e-01
55.7006366344952539	1.308460e-01	1.163493e-01	1.452830e+00	2.286734e+00	1.335018e-01
55.700686404369975	1.308460e-01	1.163481e-01	1.452935e+00	2.286794e+00	1.335049e-01
55.7007361929658771	1.308458e-01	1.163470e-01	1.453031e+00	2.286811e+00	1.335076e-01
55.7007859987431786	1.308453e-01	1.163462e-01	1.453112e+00	2.286750e+00	1.335096e-01
55.7008358207826006	1.308454e-01	1.163449e-01	1.453188e+00	2.286986e+00	1.335108e-01
55.7008856572580271	1.308452e-01	1.163438e-01	1.453252e+00	2.287068e+00	1.335117e-01
55.7009355031974067	1.308450e-01	1.163428e-01	1.453320e+00	2.287337e+00	1.335143e-01
55.700985349678156	1.308448e-01	1.163417e-01	1.453376e+00	2.287453e+00	1.335156e-01
55.7010351872532468	1.308448e-01	1.163404e-01	1.453431e+00	2.287992e+00	1.335160e-01
55.7010850050809978	1.308443e-01	1.163395e-01	1.453482e+00	2.288130e+00	1.335178e-01
55.7011347931371219	1.308439e-01	1.163387e-01	1.453534e+00	2.287729e+00	1.335187e-01
55.7011845403727648	1.308439e-01	1.163373e-01	1.453570e+00	2.287879e+00	1.335183e-01
55.7012342432518111	1.308432e-01	1.163367e-01	1.453611e+00	2.287654e+00	1.335185e-01
55.7012838977105602	1.308428e-01	1.163358e-01	1.453651e+00	2.287530e+00	1.335190e-01
55.7013334957696742	1.308428e-01	1.163344e-01	1.453678e+00	2.287301e+00	1.335192e-01
55.7013830280607749	1.308429e-01	1.163330e-01	1.453714e+00	2.287168e+00	1.335190e-01
55.7014324921222226	1.308425e-01	1.163321e-01	1.453796e+00	2.287503e+00	1.335228e-01
55.7014818834052789	1.308422e-01	1.163310e-01	1.453825e+00	2.287551e+00	1.335217e-01
55.7015311952483927	1.308419e-01	1.163299e-01	1.453846e+00	2.287320e+00	1.335203e-01
55.7015804203598179	1.308417e-01	1.163288e-01	1.453896e+00	2.287385e+00	1.335217e-01
55.7016295503465031	1.308417e-01	1.163275e-01	1.453931e+00	2.287194e+00	1.335218e-01
55.7016785931554352	1.308417e-01	1.163261e-01	1.453959e+00	2.287823e+00	1.335212e-01
55.7017275556940206	1.308414e-01	1.163250e-01	1.453967e+00	2.287052e+00	1.335202e-01
55.7017764453504398	1.308411e-01	1.163240e-01	1.453998e+00	2.287488e+00	1.335200e-01
55.7018252696293814	1.308407e-01	1.163230e-01	1.454023e+00	2.287035e+00	1.335189e-01
55.7018740352436197	1.308405e-01	1.163219e-01	1.454040e+00	2.287150e+00	1.335169e-01
55.7019227523492617	1.308398e-01	1.163213e-01	1.454063e+00	2.287340e+00	1.335164e-01
55.7019714313993148	1.308398e-01	1.163199e-01	1.454075e+00	2.287325e+00	1.335150e-01
55.7020200804666175	1.308394e-01	1.163189e-01	1.454123e+00	2.287494e+00	1.335170e-01
55.7020687036954172	1.308394e-01	1.163176e-01	1.454142e+00	2.287577e+00	1.335161e-01
55.7021173062309174	1.308391e-01	1.163166e-01	1.454171e+00	2.287540e+00	1.335161e-01
