U.waterMean:0,U.waterMean:1,U.waterMean:2,U.air:0,U.air:1,U.air:2,U.water:0,U.water:1,U.water:2,U.airMean:0,U.airMean:1,U.airMean:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
0.0064482,0.15638,-0.21349,0.075707,0.25721,-0.16936,0.0060766,0.15386,-0.22412,0.09465,0.26928,-0.15341,1,0.0364,0.034,0.034,0.1456
0.0086495,0.23575,-0.2162,0.089026,0.37978,-0.17209,0.0038565,0.23599,-0.2274,0.1085,0.38685,-0.15302,1,0.03744,0.034,0.034,0.14456
0.0086699,0.33693,-0.21877,0.096577,0.52143,-0.15668,-0.00052768,0.33923,-0.23092,0.11445,0.52326,-0.133,1,0.03848,0.034,0.034,0.14352
0.0056421,0.44876,-0.22079,0.044181,0.62459,-0.12884,-0.0078791,0.45085,-0.2336,0.068495,0.62728,-0.10207,1,0.03952,0.034,0.034,0.14248
-0.00043386,0.57124,-0.22223,-0.06816,0.68927,-0.088558,-0.018198,0.57086,-0.23544,-0.02937,0.69891,-0.060203,1,0.04056,0.034,0.034,0.14144
-0.0058468,0.70198,-0.22646,-0.2037,0.76384,-0.069191,-0.027665,0.69964,-0.23932,-0.14644,0.7782,-0.037595,1,0.0416,0.034,0.034,0.1404
-0.010332,0.84427,-0.23459,-0.37173,0.85224,-0.079107,-0.035941,0.84072,-0.24605,-0.29039,0.86819,-0.041941,1,0.04264,0.034,0.034,0.13936
-0.017241,0.99114,-0.23668,-0.64433,0.95658,-0.089276,-0.046284,0.98942,-0.24553,-0.53094,0.9695,-0.040368,1,0.04368,0.034,0.034,0.13832
-0.025289,1.1402,-0.23594,-0.96602,1.0684,-0.099565,-0.057597,1.1417,-0.24161,-0.81682,1.0761,-0.036016,1,0.04472,0.034,0.034,0.13728
-0.03815,1.3061,-0.16162,-1.4819,1.1225,-0.049289,-0.075812,1.3132,-0.15611,-1.2546,1.1245,0.01825,1,0.04576,0.034,0.034,0.13624
-0.050519,1.4598,-0.0576,-1.9161,1.1741,0.023677,-0.093684,1.4705,-0.040239,-1.625,1.1702,0.088956,1,0.0468,0.034,0.034,0.1352
-0.05994,1.5631,0.1428,-1.9969,1.2288,0.16932,-0.10871,1.5694,0.17282,-1.7049,1.2184,0.21097,1,0.04784,0.034,0.034,0.13416
-0.066318,1.5895,0.33289,-1.8623,1.2699,0.30195,-0.11796,1.588,0.36589,-1.6038,1.2597,0.3216,1,0.04888,0.034,0.034,0.13312
